lr,epochs,batch_size,growth_rate,mean_accuracy,+-
0.01,10,8,1,54.75,5.00
0.01,10,8,2,51.77,3.07
0.01,10,8,4,61.60,1.85
0.01,10,8,8,56.08,6.08
0.01,10,16,1,50.08,0.13
0.01,10,16,2,50.92,1.60
0.01,10,16,4,50.17,0.25
0.01,10,16,8,50.00,0.00
0.01,10,32,1,50.10,0.17
0.01,10,32,2,52.70,4.68
0.01,10,32,4,51.77,3.07
0.01,10,32,8,52.42,4.20
0.01,10,64,1,51.83,3.21
0.01,10,64,2,50.02,0.04
0.01,10,64,4,50.17,0.56
0.01,10,64,8,52.10,2.89
0.01,20,8,1,61.83,2.19
0.01,20,8,2,64.70,5.74
0.01,20,8,4,58.75,5.30
0.01,20,8,8,61.27,6.72
0.01,20,16,1,58.12,4.22
0.01,20,16,2,53.85,3.96
0.01,20,16,4,58.52,4.93
0.01,20,16,8,53.27,4.68
0.01,20,32,1,49.95,0.09
0.01,20,32,2,55.05,3.81
0.01,20,32,4,49.85,0.26
0.01,20,32,8,55.92,6.49
0.01,20,64,1,52.28,4.12
0.01,20,64,2,50.53,0.55
0.01,20,64,4,50.80,1.39
0.01,20,64,8,50.83,1.43
0.01,30,8,1,62.90,4.72
0.01,30,8,2,64.75,7.55
0.01,30,8,4,67.05,6.52
0.01,30,8,8,61.80,1.79
0.01,30,16,1,55.27,4.21
0.01,30,16,2,59.25,2.03
0.01,30,16,4,65.10,8.46
0.01,30,16,8,60.55,6.59
0.01,30,32,1,53.98,2.47
0.01,30,32,2,57.47,5.19
0.01,30,32,4,62.52,3.79
0.01,30,32,8,58.70,5.68
0.01,30,64,1,50.05,0.09
0.01,30,64,2,53.38,4.91
0.01,30,64,4,50.00,0.00
0.01,30,64,8,49.98,0.04
0.01,40,8,1,63.55,4.89
0.01,40,8,2,67.65,9.05
0.01,40,8,4,59.67,1.47
0.01,40,8,8,58.02,4.79
0.01,40,16,1,59.52,6.86
0.01,40,16,2,57.43,4.70
0.01,40,16,4,60.25,6.26
0.01,40,16,8,62.40,1.20
0.01,40,32,1,56.85,4.21
0.01,40,32,2,65.38,4.84
0.01,40,32,4,52.08,2.80
0.01,40,32,8,65.22,4.36
0.01,40,64,1,55.85,5.85
0.01,40,64,2,58.77,5.11
0.01,40,64,4,54.95,4.97
0.01,40,64,8,49.80,0.35
0.01,50,8,1,62.80,4.81
0.01,50,8,2,63.20,7.68
0.01,50,8,4,61.35,8.10
0.01,50,8,8,63.45,3.63
0.01,50,16,1,65.83,8.17
0.01,50,16,2,59.07,7.34
0.01,50,16,4,62.95,5.65
0.01,50,16,8,60.42,2.25
0.01,50,32,1,62.70,6.54
0.01,50,32,2,64.88,11.45
0.01,50,32,4,61.23,3.63
0.01,50,32,8,62.20,1.89
0.01,50,64,1,55.42,7.84
0.01,50,64,2,57.35,8.04
0.01,50,64,4,52.93,4.05
0.01,50,64,8,58.10,6.10
0.01,100,8,1,64.25,3.63
0.01,100,8,2,63.33,5.28
0.01,100,8,4,64.30,5.02
0.01,100,8,8,67.85,7.79
0.01,100,16,1,63.00,6.13
0.01,100,16,2,65.12,4.78
0.01,100,16,4,65.58,9.84
0.01,100,16,8,62.88,4.76
0.01,100,32,1,67.47,7.70
0.01,100,32,2,67.20,8.65
0.01,100,32,4,67.60,7.85
0.01,100,32,8,66.70,7.72
0.01,100,64,1,65.38,11.41
0.01,100,64,2,69.40,7.51
0.01,100,64,4,66.33,1.82
0.01,100,64,8,69.25,10.49
0.01,150,8,1,63.10,4.35
0.01,150,8,2,62.98,1.44
0.01,150,8,4,63.45,4.07
0.01,150,8,8,63.58,4.24
0.01,150,16,1,62.60,6.42
0.01,150,16,2,63.43,3.89
0.01,150,16,4,62.63,2.77
0.01,150,16,8,64.92,9.01
0.01,150,32,1,66.83,6.14
0.01,150,32,2,67.45,10.33
0.01,150,32,4,68.20,7.22
0.01,150,32,8,66.03,7.00
0.01,150,64,1,64.90,4.10
0.01,150,64,2,67.05,7.21
0.01,150,64,4,66.90,4.83
0.01,150,64,8,67.10,7.36
0.001,10,8,1,52.05,3.74
0.001,10,8,2,52.20,4.57
0.001,10,8,4,51.60,2.60
0.001,10,8,8,53.15,3.21
0.001,10,16,1,50.02,0.04
0.001,10,16,2,51.33,1.81
0.001,10,16,4,50.00,2.76
0.001,10,16,8,52.02,2.58
0.001,10,32,1,51.35,1.46
0.001,10,32,2,53.42,2.22
0.001,10,32,4,49.40,0.87
0.001,10,32,8,49.80,0.58
0.001,10,64,1,35.85,20.83
0.001,10,64,2,50.62,1.79
0.001,10,64,4,25.18,22.94
0.001,10,64,8,46.62,3.42
0.001,20,8,1,61.35,6.31
0.001,20,8,2,59.38,3.62
0.001,20,8,4,56.17,4.66
0.001,20,8,8,57.95,2.72
0.001,20,16,1,53.08,3.77
0.001,20,16,2,56.27,4.83
0.001,20,16,4,51.48,2.96
0.001,20,16,8,55.03,2.68
0.001,20,32,1,49.40,1.04
0.001,20,32,2,50.47,0.71
0.001,20,32,4,52.38,3.66
0.001,20,32,8,51.27,1.49
0.001,20,64,1,49.95,0.51
0.001,20,64,2,50.00,0.00
0.001,20,64,4,50.00,0.00
0.001,20,64,8,50.00,0.07
0.001,30,8,1,61.62,0.91
0.001,30,8,2,61.43,3.51
0.001,30,8,4,58.45,4.71
0.001,30,8,8,58.90,2.83
0.001,30,16,1,52.55,3.46
0.001,30,16,2,55.15,2.39
0.001,30,16,4,57.67,3.48
0.001,30,16,8,60.58,2.11
0.001,30,32,1,52.15,2.64
0.001,30,32,2,51.80,3.47
0.001,30,32,4,53.00,3.81
0.001,30,32,8,51.50,5.78
0.001,30,64,1,50.75,1.45
0.001,30,64,2,51.35,2.11
0.001,30,64,4,49.73,2.15
0.001,30,64,8,50.25,1.51
0.001,40,8,1,61.08,3.43
0.001,40,8,2,64.12,2.87
0.001,40,8,4,59.85,1.84
0.001,40,8,8,60.00,2.04
0.001,40,16,1,59.25,5.57
0.001,40,16,2,58.20,3.78
0.001,40,16,4,62.73,2.44
0.001,40,16,8,60.62,2.25
0.001,40,32,1,60.50,2.73
0.001,40,32,2,56.47,3.87
0.001,40,32,4,58.60,2.85
0.001,40,32,8,55.55,1.87
0.001,40,64,1,50.10,0.17
0.001,40,64,2,52.93,4.62
0.001,40,64,4,50.13,0.97
0.001,40,64,8,53.00,4.97
0.001,50,8,1,64.55,1.58
0.001,50,8,2,58.62,5.77
0.001,50,8,4,61.70,4.89
0.001,50,8,8,65.38,3.53
0.001,50,16,1,57.00,5.25
0.001,50,16,2,57.20,5.61
0.001,50,16,4,62.58,0.60
0.001,50,16,8,62.60,4.48
0.001,50,32,1,56.70,4.00
0.001,50,32,2,55.27,1.22
0.001,50,32,4,56.72,2.86
