epochs,batch_size,growth_rate,mean_accuracy,+-
3,10,2,53.06%,0.035
3,10,4,52.78%,0.055
3,10,8,52.99%,0.05
3,50,2,53.09%,0.056
3,50,4,54.01%,0.064
3,50,8,54.54%,0.067
3,100,2,55.09%,0.072
3,100,4,55.18%,0.077
3,100,8,55.49%,0.078
3,500,2,55.67%,0.077
3,500,4,55.34%,0.076
3,500,8,55.32%,0.076
4,10,2,54.93%,0.075
4,10,4,54.84%,0.074
4,10,8,54.55%,0.073
4,50,2,54.51%,0.071
4,50,4,54.57%,0.071
4,50,8,54.71%,0.074
4,100,2,54.65%,0.073
4,100,4,54.60%,0.072
4,100,8,54.78%,0.072
4,500,2,54.90%,0.071
4,500,4,54.78%,0.071
4,500,8,54.82%,0.07
5,10,2,54.65%,0.07
5,10,4,54.62%,0.07
5,10,8,54.61%,0.07
5,50,2,54.47%,0.07
5,50,4,54.47%,0.07
5,50,8,54.49%,0.071
5,100,2,54.36%,0.071
5,100,4,54.38%,0.07
5,100,8,54.36%,0.069
5,500,2,54.50%,0.07
5,500,4,54.46%,0.069
5,500,8,54.36%,0.07
